"","Data","Otwarcie","Najwyzszy","Najnizszy","Zamkniecie","Wolumen","log_return","pct_change"
"1",2024-07-01,26.5,26.5,25.4,25.4,1607,NA,NA
"2",2024-07-02,25.4,26.1,25.4,26,1054,0.0233473639969911,2.36220472440945
"3",2024-07-03,26,26,25.9,25.9,358,-0.00385356931599008,-0.38461538461539
"4",2024-07-04,25.5,26,25.5,25.6,295,-0.0116506172199751,-1.15830115830115
"5",2024-07-05,25.6,26,25.6,26,456,0.0155041865359653,1.56249999999999
"6",2024-07-08,25.7,26,25.6,25.8,255,-0.00772204609391028,-0.769230769230766
"7",2024-07-09,25.6,25.7,25.5,25.5,576,-0.0116960397631913,-1.16279069767442
"8",2024-07-10,25.9,25.9,25.3,25.3,208,-0.00787405643090588,-0.784313725490193
"9",2024-07-11,25.3,25.6,25.2,25.5,1452,0.00787405643090587,0.790513833992092
"10",2024-07-12,25.8,25.8,25.6,25.6,382,0.00391389932113631,0.392156862745104
"11",2024-07-15,25.8,25.8,25.5,25.5,237,-0.00391389932113633,-0.390625000000006
"12",2024-07-16,25.8,25.8,25.3,25.3,338,-0.00787405643090588,-0.784313725490193
"13",2024-07-17,25.3,25.3,24.5,24.5,1704,-0.0321312781827933,-3.16205533596838
"14",2024-07-18,25,25,24.1,24.6,4099,0.00407332538763587,0.408163265306128
"15",2024-07-19,24.6,25.1,24.5,24.8,592,0.0080972102326193,0.813008130081298
"16",2024-07-22,25.1,25.1,24.3,24.4,1068,-0.0162605208717804,-1.61290322580646
"17",2024-07-23,24.4,24.4,24,24.1,1214,-0.0123712918025467,-1.2295081967213
"18",2024-07-24,24,24.3,24,24.2,782,0.00414079266603139,0.414937759336091
"19",2024-07-25,24,24,22.7,23.7,11777,-0.0208775850215553,-2.06611570247934
"20",2024-07-26,23.8,24.6,23.8,24.3,2897,0.0250013022054174,2.53164556962026
"21",2024-07-29,24.1,24.2,24.1,24.2,794,-0.00412371718386215,-0.411522633744862
"22",2024-07-30,23.9,23.9,23.6,23.9,1181,-0.0124741742251758,-1.23966942148761
"23",2024-07-31,23.9,24.2,23.9,24.2,1214,0.0124741742251758,1.25523012552302
"24",2024-08-01,23.6,24,23.2,23.6,13137,-0.0251059211310762,-2.4793388429752
"25",2024-08-02,23.3,23.5,22.4,22.9,3527,-0.0301098014713706,-2.96610169491527
"26",2024-08-05,23.4,23.4,22.1,22.5,9606,-0.0176216013498194,-1.74672489082969
"27",2024-08-06,22.3,23,22.3,22.9,2221,0.0176216013498194,1.77777777777777
"28",2024-08-07,22.8,22.9,21,22.2,4010,-0.0310446216819602,-3.05676855895196
"29",2024-08-08,22.2,22.8,22.2,22.6,1938,0.0178576174000065,1.80180180180181
"30",2024-08-09,22.9,23.2,22.9,22.9,3026,0.0131870042819537,1.32743362831857
"31",2024-08-12,23.3,23.3,22.9,23.2,537,0.0130153681120704,1.31004366812227
"32",2024-08-13,23.2,23.4,23,23.1,2039,-0.00431966114451628,-0.431034482758612
"33",2024-08-14,23.4,23.5,23.4,23.4,1061,0.0129034048359078,1.29870129870129
"34",2024-08-16,23.5,23.6,23.2,23.6,769,0.00851068966790883,0.854700854700867
"35",2024-08-19,23.6,23.6,23,23.5,4402,-0.00424629088145121,-0.423728813559328
"36",2024-08-20,23.4,23.4,23.3,23.3,611,-0.00854706057845841,-0.851063829787231
